route no,origin,destination
G-8,Nelamangala,Corporation
G-9,Yelahanka Satellite Town,Corporation
G-10,RK Hegde Nagar,M.G.Road Metro station
G-11,Bagalur,Shantinagar
G-12,Hosakote,M.G.Road Metro station
B-3,Electronic City,Peenya 2nd stage
C-1,Hebbal,Kengeri
C-3,Hebbal,Banashankari
D-5,Banashankari,Hebbal
D-6,Kengeri Satellite Town,Kadugodi
D-9,Banashankari,Marathahalli
D-12,Banashankari,Tin Factory
K-1,St. John's Hospital,Yeshvantapur
K-2,Hebbal,MCTC
K-3,Basaweshwaranagar,Koramangala
BIAS-4,Old airport(HAL),J.P.Nagar 6th Phase
BIAS-5,Kadugodi,HSR Layout
BIAS-6,HSR Layout,Electronic City
BIAS-7,BTM Layout,Majestic
BIAS-7A,Electronic City,BTM Layout
BIAS-8,Majestic,Chikkalasandra
BIAS-8A,BTM Layout,Majestic
BIAS-9,Chikkalasandra,BTM LAyout
BIAS-11,BTM LAyout,Majestic
BIAS-12,Majestic,Electronic City
